Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1518, 1.67957377e+00, 2.93301331e+02, 9.97599214e-02, 8.11035037e-02, 6.44954294e-03, -5.77292517e-02, 5.24254084e-01, 1.50000000e+00, 2.31585813e+00
1519, 1.70630336e+00, 2.93249664e+02, 2.97099113e-01, 2.85007954e-01, 4.55471389e-02, -7.04543665e-02, 2.54789412e-01, 1.50000000e+00, 2.08037329e+00
1520, 1.68868399e+00, 2.93303833e+02, 1.27115980e-01, 2.51021776e-02, 3.54808159e-02, -1.19454868e-01, 3.44361126e-01, 1.50000000e+00, 2.37100768e+00
1521, 1.69429004e+00, 2.93304016e+02, 1.63238078e-01, -4.01253533e-03, 5.09136282e-02, -1.55043140e-01, 2.36569956e-01, 1.50000000e+00, 2.39323664e+00
1522, 1.69335127e+00, 2.93305450e+02, 1.64584607e-01, -2.09524762e-02, 4.96510118e-02, -1.55511618e-01, 2.44546145e-01, 1.50000000e+00, 2.42301297e+00
1523, 1.69599164e+00, 2.93281250e+02, 1.43071562e-01, -1.34657910e-02, 4.39414680e-02, -1.35489076e-01, 1.97703227e-01, 1.50000000e+00, 2.39781356e+00
1524, 1.70754814e+00, 2.93218536e+02, 2.37277299e-01, 2.29617566e-01, 3.44715603e-02, -4.88671474e-02, 1.86489001e-01, 1.50000000e+00, 2.13075471e+00
1525, 1.70475590e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50000000e+00, 2.29079199e+00
1526, 1.72756028e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50000000e+00, 2.10823250e+00
1527, 1.67817736e+00, 2.93255066e+02, 1.84970155e-01, 1.66879088e-01, -4.38215993e-02, 6.66707903e-02, 1.80410075e+00, 1.50000000e+00, 2.46989274e+00
1528, 1.68033552e+00, 2.93252808e+02, 2.02386186e-01, 1.83845758e-01, -4.08924296e-02, 7.40858614e-02, 1.88059616e+00, 1.50000000e+00, 2.46082878e+00
1529, 1.67802370e+00, 2.93253418e+02, 2.16808543e-01, 1.98346600e-01, -3.54470611e-02, 8.00504386e-02, 1.83047068e+00, 1.50000000e+00, 2.42576933e+00
1530, 1.68145168e+00, 2.93256287e+02, 1.40832201e-01, 1.20221324e-01, -5.68609051e-02, 4.63398434e-02, 1.82738113e+00, 1.50000000e+00, 2.55997109e+00
1531, 1.67777240e+00, 2.93260803e+02, 1.28168359e-01, 1.09420866e-01, -5.55073395e-02, 3.70558947e-02, 1.73550737e+00, 1.50000000e+00, 2.53786230e+00
1532, 1.68404520e+00, 2.93252625e+02, 1.73990116e-01, 1.54927313e-01, -4.98834811e-02, 6.14957288e-02, 1.93764961e+00, 1.50000000e+00, 2.52854538e+00
1533, 1.68318295e+00, 2.93247955e+02, 2.14838684e-01, 1.91862494e-01, -4.65031937e-02, 8.47460777e-02, 1.96480346e+00, 1.50000000e+00, 2.48468947e+00
1534, 1.67996907e+00, 2.93247009e+02, 2.68488735e-01, 2.46282905e-01, -3.74752209e-02, 1.00132599e-01, 1.91076386e+00, 1.50000000e+00, 2.39682508e+00
