Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
0, 1.67127049e+00, 2.93225739e+02, 2.06431165e-01, -1.95863932e-01, 6.04959540e-02, -2.43184138e-02, 1.69211793e+00, 1.50000000e+00, 1.75430536e-01
1, 1.67105877e+00, 2.93225677e+02, 2.00999692e-01, -1.90703198e-01, 5.84944151e-02, -2.47299019e-02, 1.68812728e+00, 1.50000000e+00, 1.79012343e-01
2, 1.67121804e+00, 2.93221100e+02, 1.88925758e-01, -1.79008275e-01, 5.56603149e-02, -2.34714188e-02, 1.68965268e+00, 1.50000000e+00, 1.69070527e-01
3, 1.67298782e+00, 2.93225616e+02, 2.07913026e-01, -1.97777167e-01, 5.90304807e-02, -2.50483025e-02, 1.71573043e+00, 1.50000000e+00, 1.73116565e-01
4, 1.67817736e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76985073e+00, 1.50000000e+00, 0.00000000e+00
5, 1.67213333e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59577668e+00, 1.50000000e+00, 0.00000000e+00
6, 1.68308210e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83975744e+00, 1.50000000e+00, 0.00000000e+00
7, 1.68338513e+00, 2.93201050e+02, 1.68238208e-01, -1.62692979e-01, 3.92100029e-02, -1.72529668e-02, 1.85608435e+00, 1.50000000e+00, 9.05363560e-02
8, 1.69836593e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98457098e+00, 1.50000000e+00, 0.00000000e+00
9, 1.69359636e+00, 2.93185303e+02, 1.16397902e-01, -1.12561360e-01, 2.71279756e-02, -1.19367000e-02, 1.94869041e+00, 1.50000000e+00, 6.26388118e-02
10, 1.70603156e+00, 2.93234955e+02, 2.19147801e-01, -2.06791252e-01, 6.78076819e-02, -2.57925056e-02, 2.07421398e+00, 1.50000000e+00, 1.39675736e-01
11, 1.68881166e+00, 2.93225006e+02, 2.37890169e-01, -2.28534192e-01, 5.95866591e-02, -2.85181813e-02, 1.91077828e+00, 1.50000000e+00, 1.38896674e-01
12, 1.70366764e+00, 2.93185364e+02, 8.94204229e-02, -8.47962126e-02, 2.71801520e-02, -8.17638729e-03, 2.04325080e+00, 1.50000000e+00, 5.26258498e-02
13, 1.70135510e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.02527523e+00, 1.50000000e+00, 0.00000000e+00
14, 1.70014906e+00, 2.93165985e+02, 4.25176248e-02, -4.14959155e-02, 8.72196257e-03, -3.12484847e-03, 2.00680804e+00, 1.50000000e+00, 1.99423861e-02
15, 1.68399167e+00, 2.93225708e+02, 2.37593710e-01, -2.29061127e-01, 5.66699393e-02, -2.77540516e-02, 1.87316453e+00, 1.50000000e+00, 1.39987722e-01
16, 1.71069837e+00, 2.93235779e+02, 2.10499540e-01, -1.98624209e-01, 6.59781173e-02, -2.24803947e-02, 2.11677742e+00, 1.50000000e+00, 1.42414272e-01
17, 1.69863379e+00, 2.93212189e+02, 7.61226565e-02, 1.91523787e-02, -4.35855165e-02, -5.93982153e-02, 2.00266576e+00, 1.50000000e+00, 2.59780675e-01
18, 1.70012701e+00, 2.93213440e+02, 6.97786212e-02, 1.05794314e-02, -3.88190523e-02, -5.70106432e-02, 2.01647615e+00, 1.50000000e+00, 2.54829675e-01
19, 1.67127502e+00, 2.93224945e+02, 1.86997339e-01, -1.77325994e-01, 5.31718098e-02, -2.63866298e-02, 1.69314659e+00, 1.50000000e+00, 1.86975986e-01
20, 1.69899583e+00, 2.93211517e+02, 8.66327733e-02, 3.54882441e-02, -5.00773638e-02, -6.11398369e-02, 2.00749373e+00, 1.50000000e+00, 2.67825902e-01
21, 1.69822311e+00, 2.93211700e+02, 8.69012773e-02, 3.47234905e-02, -5.05629815e-02, -6.15588836e-02, 2.00116086e+00, 1.50000000e+00, 2.68298149e-01
22, 1.68433499e+00, 2.93220581e+02, 1.25109479e-01, -1.16837047e-01, 1.06615145e-02, -4.34490442e-02, 1.88234305e+00, 1.50000000e+00, 1.97661608e-01
23, 1.68145216e+00, 2.93215027e+02, 7.46428147e-02, 2.11330801e-02, -4.09109145e-02, -5.87472506e-02, 1.85246229e+00, 1.50000000e+00, 2.76661873e-01
24, 1.68395102e+00, 2.93215637e+02, 7.10528716e-02, 5.01012523e-03, -4.05041650e-02, -5.81620298e-02, 1.88601637e+00, 1.50000000e+00, 2.59629011e-01
25, 1.69602561e+00, 2.93212067e+02, 8.39525089e-02, 3.01885754e-02, -4.90028262e-02, -6.11178912e-02, 1.98286390e+00, 1.50000000e+00, 2.66620696e-01
26, 1.67626166e+00, 2.93215942e+02, 1.09428085e-01, 7.26099312e-02, -5.84789589e-02, -5.72932400e-02, 1.78671741e+00, 1.50000000e+00, 3.31671000e-01
27, 1.67071581e+00, 2.93225067e+02, 1.81902170e-01, -1.72658786e-01, 5.12634516e-02, -2.54834071e-02, 1.68173552e+00, 1.50000000e+00, 1.91092417e-01
28, 1.67107606e+00, 2.93218414e+02, 1.01286948e-01, 7.09000379e-02, -5.63205108e-02, -4.53897491e-02, 1.68215084e+00, 1.50000000e+00, 3.41852427e-01
29, 1.66758859e+00, 2.93220062e+02, 1.01379424e-01, 7.01826811e-02, -6.74077645e-02, -2.84318700e-02, 1.60871983e+00, 1.50000000e+00, 3.60199302e-01
30, 1.67091215e+00, 2.93223450e+02, 1.95248231e-01, -1.84998855e-01, 5.75230122e-02, -2.42569000e-02, 1.68463349e+00, 1.50000000e+00, 1.74728543e-01
31, 1.67067242e+00, 2.93225708e+02, 1.99606866e-01, -1.89123273e-01, 5.90244159e-02, -2.43189465e-02, 1.67570341e+00, 1.50000000e+00, 1.79215670e-01
32, 1.66565633e+00, 2.93228577e+02, 1.52943060e-01, -1.47066787e-01, 4.19811793e-02, 7.19630159e-04, 1.45467985e+00, 1.50000000e+00, 1.92126244e-01
33, 1.66903150e+00, 2.93173279e+02, 5.28243072e-02, -4.99412343e-02, 1.67905763e-02, -3.78907449e-03, 1.51099980e+00, 1.50000000e+00, 5.05787991e-02
34, 1.67517090e+00, 2.93193420e+02, 9.83889699e-02, -9.30190459e-02, 3.12736258e-02, -7.05741718e-03, 1.34678245e+00, 1.50000000e+00, 9.42065492e-02
35, 1.67862463e+00, 2.93149963e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25768042e+00, 1.50000000e+00, 0.00000000e+00
36, 1.66970825e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49442506e+00, 1.50000000e+00, 0.00000000e+00
37, 1.67033100e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54233801e+00, 1.50000000e+00, 0.00000000e+00
38, 1.66731298e+00, 2.93222565e+02, 3.06155756e-02, -1.71261653e-02, -1.99818257e-02, -1.56439953e-02, 1.56283140e+00, 1.50000000e+00, 2.90322185e-01
39, 1.66628885e+00, 2.93222900e+02, 9.69234109e-02, 5.28652966e-02, -8.06217343e-02, 9.97714791e-03, 1.42464423e+00, 1.50000000e+00, 3.91207516e-01
40, 1.69785619e+00, 2.93211060e+02, 9.59783718e-02, 4.78728265e-02, -5.32617010e-02, -6.39001653e-02, 1.99841118e+00, 1.50000000e+00, 2.80304462e-01
41, 1.68535864e+00, 2.93212280e+02, 1.04668505e-01, 6.03932887e-02, -5.45362644e-02, -6.58326894e-02, 1.89849555e+00, 1.50000000e+00, 3.03369820e-01
42, 1.68999755e+00, 2.93206909e+02, 2.03305602e-01, 1.67802513e-01, -7.95857683e-02, -8.27139169e-02, 1.94081903e+00, 1.50000000e+00, 3.92765045e-01
43, 1.68392217e+00, 2.93210999e+02, 1.69231996e-01, 1.32228032e-01, -7.92193636e-02, -6.98534697e-02, 1.87775540e+00, 1.50000000e+00, 3.68877620e-01
44, 1.69635940e+00, 2.93204224e+02, 2.13317081e-01, 1.80576652e-01, -7.96654895e-02, -8.09299648e-02, 2.02365685e+00, 1.50000000e+00, 3.91259313e-01
45, 1.69145417e+00, 2.93203827e+02, 2.34272242e-01, 2.05073148e-01, -7.44047761e-02, -8.53956193e-02, 1.97979569e+00, 1.50000000e+00, 4.56386417e-01
46, 1.69908428e+00, 2.93210449e+02, 9.87055227e-02, 5.35964444e-02, -5.24611995e-02, -6.41718283e-02, 2.01463223e+00, 1.50000000e+00, 2.81851143e-01
47, 1.70141578e+00, 2.93202881e+02, 2.12198094e-01, 1.82932451e-01, -7.25082457e-02, -7.94122145e-02, 2.08360863e+00, 1.50000000e+00, 3.80492806e-01
48, 1.68242252e+00, 2.93207672e+02, 2.30866969e-01, 1.98097914e-01, -9.28754136e-02, -7.36948401e-02, 1.82483959e+00, 1.50000000e+00, 4.59401369e-01
49, 1.67838168e+00, 2.93209961e+02, 2.15009734e-01, 1.81825012e-01, -9.39922854e-02, -6.58353940e-02, 1.77919745e+00, 1.50000000e+00, 4.53056484e-01
50, 1.67614663e+00, 2.93211243e+02, 2.09874570e-01, 1.76765636e-01, -9.85382199e-02, -5.56009486e-02, 1.73452246e+00, 1.50000000e+00, 4.58524853e-01
51, 1.67020535e+00, 2.93216949e+02, 1.74989551e-01, 1.38023198e-01, -1.05733603e-01, -1.97824426e-02, 1.59201336e+00, 1.50000000e+00, 4.73904639e-01
52, 1.67843175e+00, 2.93207092e+02, 2.47674093e-01, 2.16610134e-01, -9.88232791e-02, -6.82383031e-02, 1.74895334e+00, 1.50000000e+00, 5.09852111e-01
53, 1.68852973e+00, 2.93205231e+02, 2.31210321e-01, 2.02128887e-01, -7.73103535e-02, -8.13955516e-02, 1.92461133e+00, 1.50000000e+00, 4.64660913e-01
54, 1.68018842e+00, 2.93206665e+02, 2.47406438e-01, 2.15707526e-01, -9.47615653e-02, -7.55013525e-02, 1.79413974e+00, 1.50000000e+00, 4.89457756e-01
55, 1.66642809e+00, 2.93222046e+02, 1.21707059e-01, 7.80884102e-02, -9.32413340e-02, 4.56766225e-03, 1.44626701e+00, 1.50000000e+00, 4.09249455e-01
56, 1.66675127e+00, 2.93222443e+02, 1.18811756e-01, 7.36864209e-02, -9.26917940e-02, 9.73527692e-03, 1.42349160e+00, 1.50000000e+00, 4.10354078e-01
57, 1.67142498e+00, 2.93232269e+02, 1.81642488e-01, -1.74615324e-01, 4.35041785e-02, 2.47157365e-02, 1.23311174e+00, 1.50000000e+00, 1.99767321e-01
58, 1.66739047e+00, 2.93231445e+02, 1.73247829e-01, -1.66499749e-01, 4.48145792e-02, 1.68610886e-02, 1.28944445e+00, 1.50000000e+00, 2.01305091e-01
59, 1.67275238e+00, 2.93211426e+02, 1.41366422e-01, -1.35431021e-01, 3.86806428e-02, 1.21125095e-02, 1.23167169e+00, 1.50000000e+00, 1.45559356e-01
60, 1.67314816e+00, 2.93233032e+02, 1.98930800e-01, -1.92168176e-01, 3.93047035e-02, 3.31661701e-02, 1.15031791e+00, 1.50000000e+00, 2.03230530e-01
61, 1.67036676e+00, 2.93230957e+02, 1.33640230e-01, -1.30442977e-01, 1.82954017e-02, 2.25748122e-02, 1.22946823e+00, 1.50000000e+00, 2.53469110e-01
62, 1.66738343e+00, 2.93222504e+02, 1.18500650e-01, 7.16791153e-02, -9.36021283e-02, 1.19645521e-02, 1.40528488e+00, 1.50000000e+00, 4.15383905e-01
63, 1.67311311e+00, 2.93225830e+02, 8.98617432e-02, 4.03147526e-02, -7.64566809e-02, 2.45810729e-02, 1.21740019e+00, 1.50000000e+00, 4.37596202e-01
64, 1.67639840e+00, 2.93232056e+02, 1.59334689e-01, -1.53589502e-01, 8.67161248e-03, 4.15043272e-02, 1.08940363e+00, 1.50000000e+00, 2.56200284e-01
65, 1.67585933e+00, 2.93228882e+02, 1.08740367e-01, -9.19050258e-03, -8.62075388e-02, 6.56373501e-02, 9.60315108e-01, 1.50000000e+00, 4.61186320e-01
66, 1.67626667e+00, 2.93228943e+02, 1.12014264e-01, -9.68217477e-03, -8.83525163e-02, 6.81709945e-02, 9.36933279e-01, 1.50000000e+00, 4.69579995e-01
67, 1.67620158e+00, 2.93229767e+02, 1.07292920e-01, -2.55247485e-02, -7.97078013e-02, 6.71336278e-02, 9.37544346e-01, 1.50000000e+00, 4.47977275e-01
68, 1.67732978e+00, 2.93234589e+02, 2.09505007e-01, -2.02560559e-01, 2.95785703e-02, 4.45721596e-02, 1.03367615e+00, 1.50000000e+00, 2.13250369e-01
69, 1.68553519e+00, 2.93235077e+02, 1.93251178e-01, -1.82780415e-01, -9.76031646e-04, 6.27406016e-02, 8.25667679e-01, 1.50000000e+00, 2.39213854e-01
70, 1.67828894e+00, 2.93198151e+02, 1.22894101e-01, -1.18051991e-01, 1.33605246e-02, 3.14353779e-02, 1.04340017e+00, 1.50000000e+00, 1.22557208e-01
71, 1.68018103e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11033845e+00, 1.50000000e+00, 0.00000000e+00
72, 1.69389415e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.33815694e-01, 1.50000000e+00, 0.00000000e+00
73, 1.69282055e+00, 2.93163391e+02, 3.21191214e-02, -2.83559263e-02, -4.48716618e-03, 1.44029390e-02, 8.11084270e-01, 1.50000000e+00, 4.03410196e-02
74, 1.68933129e+00, 2.93171204e+02, 5.41034713e-02, -5.19717596e-02, 5.88189950e-03, 1.38392579e-02, 8.80638957e-01, 1.50000000e+00, 5.39551601e-02
75, 1.68480682e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.01279712e+00, 1.50000000e+00, 0.00000000e+00
76, 1.67515421e+00, 2.93208710e+02, 2.44193360e-01, 2.15160489e-01, -1.05230376e-01, -4.75702137e-02, 1.63809109e+00, 1.50000000e+00, 5.64053893e-01
77, 1.68289697e+00, 2.93200195e+02, 2.91269034e-01, 2.70979255e-01, -6.95021376e-02, -8.11008587e-02, 1.81458199e+00, 1.50000000e+00, 6.34752810e-01
78, 1.68254936e+00, 2.93200562e+02, 2.89249361e-01, 2.68814415e-01, -7.11214021e-02, -7.96602517e-02, 1.80869210e+00, 1.50000000e+00, 6.31312728e-01
79, 1.68291783e+00, 2.93200317e+02, 2.90427566e-01, 2.70014763e-01, -6.98041320e-02, -8.10406581e-02, 1.81699049e+00, 1.50000000e+00, 6.31364524e-01
80, 1.67749000e+00, 2.93204651e+02, 2.70446241e-01, 2.49385536e-01, -8.66894126e-02, -5.85916080e-02, 1.68663657e+00, 1.50000000e+00, 6.36970282e-01
81, 1.69187498e+00, 2.93197357e+02, 2.95477360e-01, 2.73109227e-01, -5.64200729e-02, -9.76473242e-02, 2.00849771e+00, 1.50000000e+00, 5.71927905e-01
82, 1.69345975e+00, 2.93199524e+02, 2.71832407e-01, 2.45560706e-01, -6.63481727e-02, -9.58682373e-02, 2.02629137e+00, 1.50000000e+00, 4.97549474e-01
83, 1.69456530e+00, 2.93197632e+02, 2.84386814e-01, 2.62367249e-01, -5.31254224e-02, -9.60051492e-02, 2.05656266e+00, 1.50000000e+00, 5.45312107e-01
84, 1.69172955e+00, 2.93194702e+02, 3.18413049e-01, 2.97141641e-01, -4.98413369e-02, -1.03002712e-01, 2.02063990e+00, 1.50000000e+00, 6.12850785e-01
85, 1.69451451e+00, 2.93194275e+02, 3.13454539e-01, 2.92751521e-01, -4.44922224e-02, -1.02814026e-01, 2.07462239e+00, 1.50000000e+00, 5.96629560e-01
86, 1.69013560e+00, 2.93195709e+02, 3.12872082e-01, 2.91150689e-01, -5.37196323e-02, -1.01165324e-01, 1.98549151e+00, 1.50000000e+00, 6.15942717e-01
87, 1.68427563e+00, 2.93202545e+02, 2.68635422e-01, 2.41793126e-01, -8.06204826e-02, -8.48611444e-02, 1.86712956e+00, 1.50000000e+00, 5.37151277e-01
88, 1.68364918e+00, 2.93200165e+02, 2.89785385e-01, 2.68793166e-01, -6.97506592e-02, -8.28290805e-02, 1.83418548e+00, 1.50000000e+00, 6.22327209e-01
89, 1.68697476e+00, 2.93200134e+02, 2.81211883e-01, 2.56329983e-01, -7.14792609e-02, -9.09163207e-02, 1.91483378e+00, 1.50000000e+00, 5.62346578e-01
90, 1.68702316e+00, 2.93199554e+02, 2.86141276e-01, 2.62528569e-01, -6.82877079e-02, -9.10624266e-02, 1.91685092e+00, 1.50000000e+00, 5.80391824e-01
91, 1.68817234e+00, 2.93198669e+02, 2.90934086e-01, 2.67827600e-01, -6.45884722e-02, -9.34844241e-02, 1.94131553e+00, 1.50000000e+00, 5.85000038e-01
92, 1.68821716e+00, 2.93199921e+02, 2.79287636e-01, 2.54084855e-01, -7.07071871e-02, -9.18856114e-02, 1.93705320e+00, 1.50000000e+00, 5.52982807e-01
93, 1.68341279e+00, 2.93199463e+02, 2.96610713e-01, 2.76525140e-01, -6.79024532e-02, -8.30723792e-02, 1.82586598e+00, 1.50000000e+00, 6.39775336e-01
94, 1.69753206e+00, 2.93200134e+02, 2.50655830e-01, 2.22220749e-01, -7.13225603e-02, -9.14295986e-02, 2.06100726e+00, 1.50000000e+00, 4.39449668e-01
95, 1.66735291e+00, 2.93221039e+02, 1.29117116e-01, 8.85606706e-02, -9.38459113e-02, 4.60239826e-03, 1.42076278e+00, 1.50000000e+00, 4.31417406e-01
96, 1.67446566e+00, 2.93212006e+02, 2.21177652e-01, 1.89899147e-01, -1.10643744e-01, -2.48159617e-02, 1.52753174e+00, 1.50000000e+00, 5.70524037e-01
97, 1.67299736e+00, 2.93215424e+02, 2.05034167e-01, 1.69610649e-01, -1.15181893e-01, 2.08978169e-03, 1.37541318e+00, 1.50000000e+00, 6.17301285e-01
98, 1.67556834e+00, 2.93208649e+02, 2.45023131e-01, 2.25899428e-01, -9.11325291e-02, -2.64697447e-02, 1.50234282e+00, 1.50000000e+00, 6.82977319e-01
99, 1.67586899e+00, 2.93206787e+02, 2.58807570e-01, 2.37986535e-01, -9.13559869e-02, -4.46972139e-02, 1.59883189e+00, 1.50000000e+00, 6.50860369e-01
100, 1.68016815e+00, 2.93197296e+02, 3.29623491e-01, 3.19262862e-01, -5.36781587e-02, -6.19800612e-02, 1.61820626e+00, 1.50000000e+00, 7.99410939e-01
101, 1.67886162e+00, 2.93202484e+02, 2.84296989e-01, 2.67382920e-01, -7.54839480e-02, -6.02771044e-02, 1.66801786e+00, 1.50000000e+00, 6.88228965e-01
102, 1.68301177e+00, 2.93193115e+02, 3.57115746e-01, 3.43351632e-01, -5.23376986e-02, -8.30787644e-02, 1.73812854e+00, 1.50000000e+00, 7.83912778e-01
103, 1.68169999e+00, 2.93196838e+02, 3.26024503e-01, 3.09988379e-01, -6.45090714e-02, -7.77030066e-02, 1.74000871e+00, 1.50000000e+00, 7.26561666e-01
104, 1.68299222e+00, 2.93199402e+02, 2.98028380e-01, 2.78371960e-01, -6.81271404e-02, -8.17842633e-02, 1.81085825e+00, 1.50000000e+00, 6.47489786e-01
105, 1.68373251e+00, 2.93193481e+02, 3.49425077e-01, 3.34293693e-01, -5.36555573e-02, -8.64100903e-02, 1.77790546e+00, 1.50000000e+00, 7.60601103e-01
106, 1.68572950e+00, 2.93191162e+02, 3.66341323e-01, 3.50551426e-01, -5.13701327e-02, -9.31706578e-02, 1.82225728e+00, 1.50000000e+00, 7.70169854e-01
107, 1.69212461e+00, 2.93191010e+02, 3.53065431e-01, 3.32657129e-01, -4.61186022e-02, -1.08938113e-01, 2.01989937e+00, 1.50000000e+00, 6.79124594e-01
108, 1.69304049e+00, 2.93190521e+02, 3.54682654e-01, 3.34490359e-01, -4.40904722e-02, -1.09416723e-01, 2.03689289e+00, 1.50000000e+00, 6.80007935e-01
109, 1.69273686e+00, 2.93189636e+02, 3.64336193e-01, 3.44210118e-01, -4.33940552e-02, -1.11252911e-01, 2.03202748e+00, 1.50000000e+00, 6.98184252e-01
110, 1.69245517e+00, 2.93189514e+02, 3.66501451e-01, 3.46498191e-01, -4.33838479e-02, -1.11266181e-01, 2.02571487e+00, 1.50000000e+00, 7.03897119e-01
111, 1.68881321e+00, 2.93188843e+02, 3.81129742e-01, 3.63178879e-01, -4.60124724e-02, -1.06037006e-01, 1.90293097e+00, 1.50000000e+00, 7.77940333e-01
112, 1.68827522e+00, 2.93191193e+02, 3.59909207e-01, 3.41856599e-01, -4.95582595e-02, -1.01057813e-01, 1.91056943e+00, 1.50000000e+00, 7.28570163e-01
113, 1.68913782e+00, 2.93194641e+02, 3.24816018e-01, 3.04536641e-01, -5.33077791e-02, -9.96049941e-02, 1.95111561e+00, 1.50000000e+00, 6.51506066e-01
114, 1.68770838e+00, 2.93193756e+02, 3.36238176e-01, 3.16916645e-01, -5.31024560e-02, -9.89952981e-02, 1.91436064e+00, 1.50000000e+00, 6.82611048e-01
115, 1.68816972e+00, 2.93192871e+02, 3.43594015e-01, 3.24805796e-01, -5.03276587e-02, -1.00125805e-01, 1.92388546e+00, 1.50000000e+00, 7.02034235e-01
116, 1.69203496e+00, 2.93189148e+02, 3.71081293e-01, 3.51541162e-01, -4.38049510e-02, -1.10459305e-01, 2.00886083e+00, 1.50000000e+00, 7.15214014e-01
117, 1.69299245e+00, 2.93188782e+02, 3.72458875e-01, 3.52441698e-01, -4.32140790e-02, -1.12441182e-01, 2.03562188e+00, 1.50000000e+00, 7.09371924e-01
118, 1.69265819e+00, 2.93182617e+02, 4.28035676e-01, 4.09309894e-01, -4.65233400e-02, -1.16256341e-01, 1.98026359e+00, 1.50000000e+00, 8.07317495e-01
119, 1.69460201e+00, 2.93180847e+02, 4.39495504e-01, 4.20026004e-01, -4.58060801e-02, -1.20980375e-01, 2.02744007e+00, 1.50000000e+00, 8.10363710e-01
120, 1.68558645e+00, 2.93190002e+02, 3.83609325e-01, 3.72308671e-01, -4.56505865e-02, -8.03640485e-02, 1.66964197e+00, 1.50000000e+00, 8.70093703e-01
121, 1.67587960e+00, 2.93206604e+02, 2.66454607e-01, 2.54658550e-01, -7.65776858e-02, -1.68209076e-02, 1.37254167e+00, 1.50000000e+00, 7.50836015e-01
122, 1.67698216e+00, 2.93204895e+02, 2.70728141e-01, 2.54919171e-01, -8.02405328e-02, -4.32596430e-02, 1.55783904e+00, 1.50000000e+00, 7.10012913e-01
123, 1.67969775e+00, 2.93198853e+02, 3.16772133e-01, 3.05873960e-01, -6.78192526e-02, -4.67573330e-02, 1.53039980e+00, 1.50000000e+00, 7.77525842e-01
124, 1.68161500e+00, 2.93193481e+02, 3.63917172e-01, 3.57236087e-01, -4.89837304e-02, -4.91801687e-02, 1.46085274e+00, 1.50000000e+00, 8.59442174e-01
125, 1.68289709e+00, 2.93191376e+02, 3.76831591e-01, 3.69130015e-01, -4.47193831e-02, -6.11985251e-02, 1.56342268e+00, 1.50000000e+00, 8.64264309e-01
126, 1.67816412e+00, 2.93206696e+02, 2.59441137e-01, 2.52833486e-01, -5.77994734e-02, -6.64390251e-03, 1.27577925e+00, 1.50000000e+00, 8.09491336e-01
127, 1.68131292e+00, 2.93201202e+02, 3.08117419e-01, 3.06371421e-01, -3.24782915e-02, -4.24991036e-03, 1.07493162e+00, 1.50000000e+00, 8.91580343e-01
128, 1.67699909e+00, 2.93216644e+02, 1.71759605e-01, 1.50237173e-01, -8.17164406e-02, 1.58925932e-02, 1.15186334e+00, 1.50000000e+00, 7.00438201e-01
129, 1.67452276e+00, 2.93215576e+02, 1.96572840e-01, 1.67271316e-01, -1.02834001e-01, 9.29284655e-03, 1.30927050e+00, 1.50000000e+00, 6.55704796e-01
130, 1.67937696e+00, 2.93222717e+02, 1.08104020e-01, 8.11658353e-02, -6.04075789e-02, 3.80724482e-02, 8.88358533e-01, 1.50000000e+00, 6.97794318e-01
131, 1.67705703e+00, 2.93226990e+02, 1.03963859e-01, 1.65122226e-02, -8.12160671e-02, 6.27676770e-02, 9.16220844e-01, 1.50000000e+00, 5.44310749e-01
132, 1.67857003e+00, 2.93219757e+02, 1.30248979e-01, 1.09882995e-01, -6.25897124e-02, 3.11937705e-02, 9.41927433e-01, 1.50000000e+00, 7.19352245e-01
133, 1.67628098e+00, 2.93227997e+02, 1.12739317e-01, 3.17340530e-03, -9.07171294e-02, 6.68616965e-02, 9.62590635e-01, 1.50000000e+00, 4.95503426e-01
134, 1.67564678e+00, 2.93223053e+02, 1.32576957e-01, 7.90827200e-02, -9.81983840e-02, 4.09835391e-02, 1.15674829e+00, 1.50000000e+00, 5.89210689e-01
135, 1.67343855e+00, 2.93220154e+02, 1.66729793e-01, 1.17052391e-01, -1.15628600e-01, 2.69738771e-02, 1.32007051e+00, 1.50000000e+00, 5.73894620e-01
136, 1.68266726e+00, 2.93201630e+02, 3.08687478e-01, 3.08537722e-01, -9.54175089e-03, -1.18188141e-03, 9.63295579e-01, 1.50000000e+00, 9.25381839e-01
137, 1.67910063e+00, 2.93221313e+02, 1.15968727e-01, 9.72080827e-02, -5.24521656e-02, 3.53285372e-02, 8.72905314e-01, 1.50000000e+00, 7.25291252e-01
138, 1.68821037e+00, 2.93204010e+02, 2.85942286e-01, 2.84739435e-01, 1.73002183e-02, 1.96761861e-02, 7.02423990e-01, 1.50000000e+00, 9.16166842e-01
139, 1.68750346e+00, 2.93205322e+02, 2.70579696e-01, 2.69476920e-01, 1.17998328e-02, 2.13615298e-02, 7.15619147e-01, 1.50000000e+00, 9.01147068e-01
140, 1.68804228e+00, 2.93203674e+02, 2.88469762e-01, 2.87362009e-01, 1.66934710e-02, 1.89526044e-02, 7.13310897e-01, 1.50000000e+00, 9.18630600e-01
141, 1.67751491e+00, 2.93230225e+02, 1.09731890e-01, -3.45731080e-02, -7.62333050e-02, 7.09525943e-02, 8.97730470e-01, 1.50000000e+00, 4.45223957e-01
142, 1.67643154e+00, 2.93229065e+02, 1.12420030e-01, -1.09349284e-02, -8.79237428e-02, 6.91961423e-02, 9.23126519e-01, 1.50000000e+00, 4.69808400e-01
143, 1.69437563e+00, 2.93237793e+02, 1.65858492e-01, -1.24296226e-01, 3.39621231e-02, 1.04432084e-01, 3.77608716e-01, 1.50000000e+00, 4.13178205e-01
144, 1.68600321e+00, 2.93231110e+02, 9.10710618e-02, -2.52208188e-02, -2.41253097e-02, 8.41178820e-02, 5.68927765e-01, 1.50000000e+00, 6.01883352e-01
145, 1.68553329e+00, 2.93232147e+02, 1.01782650e-01, -5.85130751e-02, -1.62022859e-02, 8.16909671e-02, 5.94372332e-01, 1.50000000e+00, 5.46729445e-01
146, 1.69395435e+00, 2.93237915e+02, 1.71388000e-01, -1.32501915e-01, 3.48364823e-02, 1.02973349e-01, 3.92225564e-01, 1.50000000e+00, 4.00352031e-01
147, 1.69466424e+00, 2.93238068e+02, 1.70413703e-01, -1.29723355e-01, 3.59093919e-02, 1.04514100e-01, 3.75988245e-01, 1.50000000e+00, 4.02411014e-01
148, 1.69030154e+00, 2.93235809e+02, 1.97797433e-01, -1.82275504e-01, 1.55579941e-02, 7.52157643e-02, 5.41958034e-01, 1.50000000e+00, 2.47699574e-01
149, 1.69485247e+00, 2.93236298e+02, 1.91899255e-01, -1.73326761e-01, 1.89987663e-02, 8.01386386e-02, 4.54389483e-01, 1.50000000e+00, 2.25397140e-01
150, 1.68488622e+00, 2.93230621e+02, 8.85844380e-02, -2.63270829e-02, -2.63539329e-02, 8.03713724e-02, 5.95731914e-01, 1.50000000e+00, 5.95328331e-01
